4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
174	6.863294904847256e-08	1.9930729579123805e-07	7.83612961618013e-08	2.848189294564534e-07	1.4699424521027383e-07	3.4779468388181176e-07
175	6.970533887735494e-08	2.0067218281407784e-07	9.807790988879538e-08	3.1763515202880025e-07	1.6778324876615031e-07	3.7219677719328796e-07
176	5.042522624284455e-08	1.4262643644933474e-07	9.656901896742929e-08	3.1541340479341407e-07	1.4699424521027383e-07	3.4779468388181176e-07
177	5.202602707595072e-08	1.4458493828963498e-07	9.963470210925245e-08	3.199037996306924e-07	1.5166072918520317e-07	3.5226901088852605e-07
178	7.432839349597142e-08	2.278466289668277e-07	9.807790988879538e-08	3.1763515202880025e-07	1.724063033847668e-07	3.863526410685701e-07
179	7.432839349597143e-08	2.2784662896682772e-07	9.807790988879538e-08	3.1763515202880025e-07	1.724063033847668e-07	3.863526410685701e-07
180	7.226934504671886e-08	2.301348629770237e-07	6.639028682725767e-08	1.9681520608469894e-07	1.3865963187397655e-07	3.0672499664890956e-07
181	8.360571289718457e-08	2.456054628864807e-07	6.75957505688675e-08	2.0252795614034068e-07	1.5120146346605208e-07	3.223253485233393e-07
182	8.199791072608487e-08	2.4350326593790435e-07	6.629583228869697e-08	2.0078583790086443e-07	1.4829374301478182e-07	3.198857180637988e-07
183	8.524698549173764e-08	2.5370296111167864e-07	6.787447317803188e-08	2.0844937895417646e-07	1.5312145866976955e-07	3.2933790426433657e-07
184	7.248182630324503e-08	2.410514866236932e-07	6.271899902723035e-08	2.0771741554218868e-07	1.352008253304754e-07	3.234892787096843e-07
185	7.248182630324503e-08	2.410514866236932e-07	6.271899902723035e-08	2.0771741554218868e-07	1.352008253304754e-07	3.234892787096843e-07
186	7.938485737974457e-08	2.511806334277912e-07	6.267116467346526e-08	2.1474103450067336e-07	1.4205602205320983e-07	3.360492919579071e-07
187	7.7538697905797e-08	2.4853090416885423e-07	6.121369572757072e-08	2.1243944326417198e-07	1.3875239363336774e-07	3.328081342419511e-07
188	8.774115815655977e-08	2.626780382841853e-07	6.92681293759353e-08	2.2474613996817813e-07	1.5700928753249508e-07	3.4995514220126726e-07
189	8.549138487049413e-08	2.596591296789917e-07	6.749202349450106e-08	2.2211607548571776e-07	1.529834083649952e-07	3.463297182125368e-07
190	8.335410024873178e-08	2.5674003090993156e-07	6.580472290713853e-08	2.1957503173644333e-07	1.491588231558703e-07	3.4280626817941666e-07
191	8.774115815655977e-08	2.626780382841853e-07	6.92681293759353e-08	2.2474613996817813e-07	1.5700928753249508e-07	3.4995514220126726e-07
192	8.335410024873178e-08	2.5674003090993156e-07	6.580472290713852e-08	2.1957503173644333e-07	1.491588231558703e-07	3.4280626817941666e-07
193	8.549138487049413e-08	2.596591296789917e-07	6.749202349450106e-08	2.2211607548571776e-07	1.529834083649952e-07	3.463297182125368e-07
194	9.526182885569346e-08	2.723923335770211e-07	7.52053976081583e-08	2.332248106581639e-07	1.704672264638518e-07	3.6148550833209504e-07
195	9.261566694303531e-08	2.6903831596785066e-07	9.419011203296411e-08	2.559248941359541e-07	1.8680577897599943e-07	3.693036578562469e-07
196	9.750778823257656e-08	2.6891093522154924e-07	9.908223332250537e-08	2.5576086938529754e-07	1.9659002155508196e-07	3.6889061345102584e-07
197	1.0029372503922162e-07	2.7221272457085246e-07	1.0191315427457695e-07	2.5883213645601984e-07	2.022068793137986e-07	3.72602369218715e-07
198	5.973243818869063e-08	1.3673530143443922e-07	1.0491059998853509e-07	2.6201149784054153e-07	1.6464303817722572e-07	3.05825701159409e-07
199	5.344481311619687e-08	1.3063126150878945e-07	9.386737893711036e-08	2.4992059697960874e-07	1.4731219205330722e-07	2.9366172492605355e-07
200	6.039119548813443e-08	1.4136785923782376e-07	7.944861390814576e-08	1.930693654155379e-07	1.398398093962802e-07	2.624424472539959e-07
201	6.039119548813443e-08	1.4136785923782376e-07	7.944861390814576e-08	1.930693654155379e-07	1.398398093962802e-07	2.624424472539959e-07
202	6.039119548813443e-08	1.4136785923782376e-07	7.944861390814576e-08	1.930693654155379e-07	1.398398093962802e-07	2.624424472539959e-07
203	5.8443092407872025e-08	1.3947778144057042e-07	7.688575539497976e-08	1.9044784761986055e-07	1.353288478028518e-07	2.59354378552351e-07
204	5.8443092407872025e-08	1.3947778144057042e-07	7.688575539497976e-08	1.9044784761986055e-07	1.353288478028518e-07	2.59354378552351e-07
